respondent_id,submitted_at,duration_raw,source,source_detail,ip_address,q3_morning_commute_minutes,q4_evening_commute_minutes,q5_route_type,q6_morning_congestion_minutes,q7_evening_congestion_minutes,q8_1_congestion_problem,q8_2_reroute_frequency,q8_3_confidence,q8_4_return_normal,q9_car_nav,q9_phone_nav,q9_social_media,q9_web_announcement,q9_radio_announcement,q9_tv_announcement,q9_word_of_mouth,q9_visual_confirmation,q9_none,q9_other,q10_when_seek_info,q11_1_seek_info,q11_2_disagree_guidance,q11_3_ignore_guidance,q11_4_cancel_trip,q12_1_workzone,q12_2_special_event,q12_3_weather,q12_4_peak,q12_5_incident,q13_delay_threshold_minutes,q14_1_prefer_familiar,q14_2_familiar_enables_detour,q14_3_prefer_highway,q14_4_reliability_important,q14_5_multi_choices,q14_6_no_detour_if_longer,q14_7_lane_closure_impact,q14_8_choose_smooth,q14_9_immediate_detour,q14_1_prefer_familiar_1,q14_1_prefer_familiar_2,q14_1_prefer_familiar_3,q14_1_prefer_familiar_4,q14_1_prefer_familiar_5,q14_1_prefer_familiar_6,q14_1_prefer_familiar_7,q14_1_prefer_familiar_8,q14_1_prefer_familiar_9,q14_2_familiar_enables_detour_1,q15_wait_before_detour_minutes,q16_1_commute_am,q16_2_commute_pm,q16_3_shopping,q16_4_leisure,q16_5_long_trip,q16_6_emergency,q17_gender,q18_age,q19_ethnicity,q20_income,q21_occupation,q22_education,q24_vehicle_nav,q25_home_location,q26_work_location,total_score,duration_seconds,num_info_channels,info_channel_binary
7,2023-04-17 16:20:06,326秒,样本服务,,117.13.20.67(天津-天津),37,39,2,19,14,5,4,4,3,1,1,0,0,0,0,0,1,0,0,5,4,3,2,3,4,5,5,4,3,18,5,4,2,4,5,4,4,5,5,4,5,4,3,4,4,3,4,2,5,21,3,3,4,4,2,5,1,46,1,3,1,4,1,2,3,342,326.0,3,1
8,2023-04-17 16:20:11,333秒,样本服务,,39.144.190.54(湖南-长沙),47,69,1,24,52,5,3,3,3,0,1,0,0,0,0,0,0,0,0,5,4,4,4,2,4,4,2,4,4,10,4,4,3,4,3,4,4,3,4,3,4,4,4,3,4,4,4,1,4,12,4,4,4,4,4,2,1,35,1,5,2,5,1,4,3,387,333.0,1,1
9,2023-04-17 16:21:19,401秒,样本服务,,125.69.18.156(四川-成都),30,40,3,4,14,4,3,3,4,1,1,0,0,0,0,0,0,0,0,5,4,5,3,4,5,4,3,3,4,17,5,3,2,4,4,4,4,3,4,4,3,4,5,4,4,4,3,1,4,17,3,3,2,3,4,3,2,29,1,5,1,5,1,4,2,289,401.0,2,1
10,2023-04-17 16:21:27,405秒,样本服务,,223.104.9.243(四川-成都),34,39,2,40,44,3,4,3,4,1,1,0,0,1,0,0,1,0,0,2,4,2,3,4,4,5,5,4,5,12,5,4,3,2,3,4,5,4,3,4,4,4,3,4,3,3,4,2,5,20,4,3,3,3,4,5,2,21,1,4,6,5,1,3,4,353,405.0,4,1
12,2023-04-17 16:21:45,419秒,样本服务,,101.226.41.82(上海-上海),30,45,2,5,15,4,4,5,3,1,1,0,0,1,0,0,1,0,0,3,5,2,1,3,5,4,5,5,4,25,5,4,5,5,4,5,5,5,3,4,3,5,4,5,5,4,5,2,5,10,4,3,4,4,5,4,1,32,1,4,2,4,2,4,4,321,419.0,4,1
13,2023-04-17 16:21:58,383秒,样本服务,,39.149.22.39(河南-洛阳),28,20,2,10,4,4,2,3,3,1,1,1,0,1,0,1,1,0,0,2,4,1,2,4,5,2,5,5,4,10,5,2,3,4,4,5,5,5,4,4,4,5,3,4,4,3,2,2,4,20,2,1,4,4,5,5,2,26,1,3,3,5,1,3,3,257,383.0,6,1
14,2023-04-17 16:22:20,337秒,样本服务,,182.104.18.33(江西-南昌),24,32,2,4,8,5,4,5,4,1,1,0,0,0,0,0,1,0,0,3,5,2,2,4,4,5,5,5,4,9,5,2,3,5,2,5,4,5,3,4,3,5,5,4,5,4,5,2,5,7,5,4,3,2,4,5,2,35,1,6,2,5,1,3,4,274,337.0,3,1
16,2023-04-17 16:22:27,402秒,样本服务,,113.7.143.159(黑龙江-鹤岗),24,20,2,40,30,5,4,4,5,1,1,0,0,1,0,0,1,0,0,3,5,2,1,4,5,4,4,5,5,20,5,5,3,5,4,3,5,4,3,4,3,4,4,5,3,4,5,2,4,20,5,4,4,4,5,5,2,25,1,4,3,5,1,4,4,336,402.0,4,1
17,2023-04-17 16:22:33,468秒,样本服务,,117.140.63.0(广西-钦州),27,27,3,6,3,4,3,4,2,1,1,0,0,0,0,0,0,0,0,2,4,3,4,3,4,3,5,5,4,8,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3,4,3,2,4,14,3,4,3,3,4,5,2,34,1,3,2,5,1,4,4,256,468.0,2,1
18,2023-04-17 16:22:43,302秒,样本服务,,27.210.127.35(山东-青岛),53,55,2,24,26,5,4,5,4,0,1,0,0,1,0,1,0,0,0,3,4,5,4,5,4,4,5,5,5,24,5,4,4,3,4,5,4,3,4,4,4,4,3,4,5,4,4,2,4,24,4,4,5,5,4,5,2,31,1,5,1,5,1,4,4,399,302.0,3,1
