respondent_id,submitted_at,duration_raw,source,source_detail,ip_address,q3_morning_commute_minutes,q4_evening_commute_minutes,q5_route_type,q6_morning_congestion_minutes,q7_evening_congestion_minutes,q8_1_congestion_problem,q8_2_reroute_frequency,q8_3_confidence,q8_4_return_normal,q9_car_nav,q9_phone_nav,q9_social_media,q9_web_announcement,q9_radio_announcement,q9_tv_announcement,q9_word_of_mouth,q9_visual_confirmation,q9_none,q9_other,q10_when_seek_info,q11_1_seek_info,q11_2_disagree_guidance,q11_3_ignore_guidance,q11_4_cancel_trip,q12_1_workzone,q12_2_special_event,q12_3_weather,q12_4_peak,q12_5_incident,q13_delay_threshold_minutes,q14_1_prefer_familiar,q14_2_familiar_enables_detour,q14_3_prefer_highway,q14_4_reliability_important,q14_5_multi_choices,q14_6_no_detour_if_longer,q14_7_lane_closure_impact,q14_8_choose_smooth,q14_9_immediate_detour,q14_1_prefer_familiar_1,q14_1_prefer_familiar_2,q14_1_prefer_familiar_3,q14_1_prefer_familiar_4,q14_1_prefer_familiar_5,q14_1_prefer_familiar_6,q14_1_prefer_familiar_7,q14_1_prefer_familiar_8,q14_1_prefer_familiar_9,q14_2_familiar_enables_detour_1,q15_wait_before_detour_minutes,q16_1_commute_am,q16_2_commute_pm,q16_3_shopping,q16_4_leisure,q16_5_long_trip,q16_6_emergency,q17_gender,q18_age,q19_ethnicity,q20_income,q21_occupation,q22_education,q24_vehicle_nav,q25_home_location,q26_work_location,total_score,duration_seconds,num_info_channels,info_channel_binary,delta_commute_minutes,avg_commute_minutes,congestion_ratio_morning,congestion_ratio_evening,overall_congestion_ratio,delay_minus_wait,risk_aversion_index,comfort_preference_index,efficiency_orientation_index,information_dependency_index,target_reroute_high,target_low_delay_tolerance,q5_route_type_1,q5_route_type_2,q5_route_type_3,q5_route_type_<NA>,q25_home_location_1,q25_home_location_2,q25_home_location_3,q25_home_location_4,q25_home_location_<NA>,q26_work_location_1,q26_work_location_2,q26_work_location_3,q26_work_location_4,q26_work_location_<NA>
354,2023-04-19 10:11:50,590秒,样本服务,,180.115.203.220(江苏-常州),25,20,2,13,8,4,5,5,4,1,1,0,0,0,0,0,0,0,0,2,4,4,5,4,5,5,4,5,5,11,5,3,4,4,3,4,4,4,5,4,4,4,4,3,3,4,4,2,4,15,4,3,3,3,2,4,1,55,1,3,1,4,1,4,2,299,590.0,2,1,-5,22.5,0.52,0.4,0.4666666666666667,-4,,0.75,0.9083333333333333,0.5,1,1,False,True,False,False,False,False,False,True,False,False,True,False,False,False
856,2023-04-21 09:57:56,431秒,样本服务,,106.40.31.51(内蒙古-呼和浩特),21,19,2,6,4,4,3,4,5,1,1,0,0,1,0,0,1,0,0,3,3,2,2,1,5,3,2,4,4,6,4,5,3,4,5,4,3,5,3,2,4,5,3,4,4,4,5,1,4,6,4,4,3,5,5,4,1,28,1,3,1,5,1,4,4,231,431.0,4,1,-2,20.0,0.2857142857142857,0.21052631578947367,0.25,0,,0.625,0.7,0.5,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1431,2023-04-24 10:51:31,359秒,样本服务,,116.236.138.125(上海-上海),50,50,2,14,15,5,4,4,4,0,0,0,0,0,0,0,1,0,0,6,2,4,4,2,5,4,2,4,4,10,5,5,1,4,5,5,3,4,5,5,5,5,3,4,4,1,4,1,5,8,4,4,3,2,2,4,1,28,1,5,2,5,1,2,4,318,359.0,1,1,0,50.0,0.28,0.3,0.29,2,,0.5,0.9166666666666667,0.1875,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1165,2023-04-22 09:43:22,366秒,样本服务,,113.194.224.42(江西-九江),43,55,2,49,27,4,3,5,3,1,1,0,0,0,0,0,1,0,0,3,4,3,5,3,4,3,4,3,5,49,2,2,3,1,4,2,1,3,3,3,2,3,1,2,4,3,4,2,3,36,3,4,5,3,3,5,1,42,1,4,3,5,1,4,2,423,366.0,3,1,12,49.0,1.1395348837209303,0.4909090909090909,0.7755102040816326,13,,0.625,0.3416666666666667,0.5625,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False
284,2023-04-19 10:04:19,322秒,样本服务,,14.24.51.203(广东-惠州),20,25,2,5,8,5,4,4,5,1,1,0,0,0,0,0,1,0,0,5,5,1,1,5,5,4,5,5,5,10,5,5,4,5,5,4,5,5,3,4,5,4,5,5,4,4,5,3,4,10,5,5,3,4,5,5,1,33,1,6,1,5,1,4,4,278,322.0,3,1,5,22.5,0.25,0.32,0.28888888888888886,0,,1.0,0.6666666666666667,0.6875,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1372,2023-04-23 10:24:30,350秒,样本服务,,39.144.57.222(辽宁-阜新),30,30,2,7,5,3,4,5,4,1,1,0,0,0,0,0,0,0,0,1,4,3,3,2,5,3,3,3,4,10,4,5,3,4,5,3,4,3,4,3,3,4,4,4,4,4,5,3,4,10,5,3,3,3,3,5,2,20,1,7,6,3,1,4,4,255,350.0,2,1,0,30.0,0.23333333333333334,0.16666666666666666,0.2,0,,0.5,0.7916666666666667,0.5,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1086,2023-04-21 17:20:49,324秒,样本服务,,117.189.16.185(贵州-贵阳),16,25,2,11,17,5,5,3,4,1,1,0,0,0,1,0,1,0,0,2,5,3,4,3,4,3,4,5,5,20,5,4,3,2,3,4,5,2,3,3,2,4,3,4,4,5,4,3,4,20,4,3,2,4,3,4,2,24,1,3,1,5,1,2,2,275,324.0,4,1,9,20.5,0.6875,0.68,0.6829268292682927,0,,0.5,0.5833333333333334,0.75,1,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1436,2023-04-24 10:53:33,703秒,样本服务,,113.3.150.89(黑龙江-佳木斯),70,80,2,20,30,5,3,3,4,1,0,0,0,0,0,0,1,0,0,3,4,3,2,3,4,5,4,3,3,10,4,4,2,4,3,3,4,4,3,3,4,4,4,5,4,3,5,2,4,10,3,3,4,2,4,5,1,28,1,3,2,5,1,4,3,386,703.0,2,1,10,75.0,0.2857142857142857,0.375,0.3333333333333333,0,,0.75,0.6666666666666667,0.5,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False
721,2023-04-20 15:40:10,361秒,样本服务,,39.144.63.76(广西-桂林),38,35,2,11,13,5,4,4,5,0,1,0,0,0,0,1,1,0,0,5,4,2,2,2,3,3,4,3,4,35,1,4,4,4,3,4,2,5,3,3,4,5,4,4,3,4,5,2,5,44,4,3,5,3,4,5,1,22,2,4,6,5,1,4,4,338,361.0,3,1,-3,36.5,0.2894736842105263,0.37142857142857144,0.3287671232876712,-9,,0.875,0.4583333333333333,0.5625,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
51,2023-04-17 16:32:09,802秒,样本服务,,223.104.20.104(湖北-武汉),42,39,2,12,9,5,4,4,5,1,0,0,0,0,0,0,1,0,0,5,4,2,2,4,5,4,4,4,5,6,4,2,2,4,4,5,5,4,4,5,2,5,4,4,4,5,4,2,4,4,4,4,3,3,4,5,1,43,1,6,1,6,1,4,4,305,802.0,2,1,-3,40.5,0.2857142857142857,0.23076923076923078,0.25925925925925924,2,,0.75,0.825,0.5,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False
